generation,average,min,max
136,44626.376000000004,1181.9475000000002,146919.8075
137,43205.20579999999,1181.9475000000002,155633.63499999995
138,43575.80477500001,1759.3875000000003,161315.89500000002
139,34822.797475,4511.249999999999,153412.26000000004
140,37044.54725,1375.4300000000003,153415.2924999999
141,42347.137675,987.4625000000001,157491.88999999998
142,37691.748025,1181.9475000000002,148731.3625
143,39586.69185,3071.6600000000003,167034.03499999997
144,40515.273625,1181.9475000000002,148349.77749999997
145,39746.84745,1375.4300000000003,155357.125
146,37862.527875,1949.8625000000002,144732.04
147,39157.681425,2515.2725,152317.54750000002
148,35913.962824999995,1567.9100000000003,126221.3475
149,36835.707350000004,1181.9475000000002,137502.79249999998
150,39330.125550000004,1567.9100000000003,143099.055
151,43413.98642499999,1181.9475000000002,156795.75
152,39949.5559,1181.9475000000002,157784.75
153,40744.47422499999,1181.9475000000002,153921.85749999998
154,51682.11157500001,1375.4300000000003,155159.3075
155,38261.397124999996,1181.9475000000002,132223.9725
156,39427.1546,1949.8625000000002,153217.405
157,40544.53615,1949.8625000000002,147958.25
158,41527.293825,1375.4300000000003,153837.58249999996
159,44624.132249999995,1567.9100000000003,151098.4775
160,42903.54835,1181.9475000000002,162184.295
161,51426.327475,3437.5725,156169.36
162,43049.47305,1759.3875000000003,163264.8725
163,39749.52915,1181.9475000000002,147795.8025
164,38466.633725,1375.4300000000003,159218.15750000003
165,46174.963674999985,1375.4300000000003,150382.4375
166,42003.78325,1181.9475000000002,156559.75
167,38588.76175,1375.4300000000003,173882.10249999998
168,40140.85815,3071.6600000000003,144874.65750000003
169,36264.122975000006,1375.4300000000003,146322.4525
170,38283.50505000001,1567.9100000000003,157606.21
171,45630.561550000006,1759.3875000000003,156773.885
172,42701.417100000006,1181.9475000000002,168653.3225
173,36937.65335000001,1375.4300000000003,140225.03999999998
174,43247.46762499999,1181.9475000000002,146670.375
175,38673.571449999996,1181.9475000000002,161223.44499999998
176,37396.733225,1567.9100000000003,141527.9675
177,44508.570275,1567.9100000000003,154993.32499999998
178,45370.748625,987.4625000000001,154393.355
179,35698.96185,1181.9475000000002,166182.78249999994
180,44543.502575000006,1181.9475000000002,159907.89500000002
181,43524.982575,1759.3875000000003,166709.46250000002
182,41991.64715,1375.4300000000003,160524.31
183,39596.11612499999,1181.9475000000002,163355.76249999995
184,39730.529050000005,1375.4300000000003,158004.25
185,39764.776849999995,1181.9475000000002,153548.16999999998
186,36240.37565,1181.9475000000002,148338.3525
187,36396.865725,1567.9100000000003,161727.84
188,48858.0709,1567.9100000000003,143982.72250000003
189,42666.648075000005,1567.9100000000003,144597.25
190,38608.86295,1181.9475000000002,136039.685
191,42236.28585000001,1375.4300000000003,155329.75
192,47553.229674999995,1375.4300000000003,152871.75
193,37295.62495,1759.3875000000003,131565.0075
194,38271.855899999995,1375.4300000000003,160357.74999999997
195,41350.519975,1375.4300000000003,153998.75
196,40726.1065,1949.8625000000002,139263.8675
197,44284.19875,1567.9100000000003,141972.25
198,42149.352325,2139.335,164600.16
199,38527.7479,1181.9475000000002,152950.96250000002
200,46588.974775,1375.4300000000003,150037.02499999997
201,40367.39337500001,1181.9475000000002,139014.57749999998
202,37611.59057500001,1567.9100000000003,180082.08249999996
203,38794.643575,2139.335,138640.79500000004
204,40657.535925000004,1759.3875000000003,154440.24749999994
205,43137.078799999996,1375.4300000000003,159911.65
206,40152.315800000004,1567.9100000000003,174909.3825
207,35967.322725,1375.4300000000003,133917.4975
208,45071.554675000014,3255.1175000000003,158358.30250000002
209,44476.446749999996,1375.4300000000003,152568.5
210,40999.485499999995,1759.3875000000003,159729.06
211,41933.973999999995,1181.9475000000002,144113.11
212,39077.95135,1181.9475000000002,133697.5
213,39039.568,987.4625000000001,149627.32749999998
214,45861.164,1181.9475000000002,146497.5
215,41364.863950000006,1759.3875000000003,167099.4875
216,44113.398175,1375.4300000000003,149141.59750000003
217,37892.847325,1181.9475000000002,149533.13749999998
218,47607.5268,4334.8099999999995,162917.12999999998
219,37599.242425000004,1375.4300000000003,138582.6175
220,40040.9134,1181.9475000000002,136171.11999999997
221,34718.390925,1181.9475000000002,130723.75
222,43721.11175000001,2887.2000000000003,155662.75
223,38937.51365,3799.475,147447.04749999996
224,37716.709,3978.9224999999997,149790.2549999999
225,41093.8408,1375.4300000000003,134917.26499999998
226,43861.015199999994,2139.335,153049.43500000003
227,46860.62000000001,1181.9475000000002,148655.75
228,35489.8707,1375.4300000000003,149197.375
229,46990.04472499999,4511.249999999999,153025.07
230,40178.417024999995,1181.9475000000002,150148.27250000002
231,45526.58905,1567.9100000000003,164518.305
232,44241.7741,1181.9475000000002,161826.97249999997
233,39618.09655,1375.4300000000003,148471.08500000002
234,48083.990125000004,1567.9100000000003,160355.75
235,47474.967450000004,1759.3875000000003,166840.4875
236,45470.960525,1375.4300000000003,151687.77749999997
